ccrB6	90.31	1458/1424	NZ_CP080249.1	58237..59657
ccrA1	90.14	1350/1308	NZ_CP080249.1	59760..61066
ccrA1	90.14	1350/1308	NZ_CP080249.1	61066..59760
ccrA1	93.33	1350/1350	NZ_CP080249.1	59717..61066
mecR1	99.89	1758/1758	NZ_CP080249.1	43478..41721
mecR1	99.89	1758/1758	NZ_CP080249.1	43478..41721
mecR1	99.89	1758/1758	NZ_CP080249.1	41721..43478
mecI	100.00	372/372	NZ_CP080249.1	43849..43478
mecI	100.00	204/201	NZ_CP080249.1	43678..43478
mecI	99.67	303/303	NZ_CP080249.1	43849..43548
mecI	100.00	372/372	NZ_CP080249.1	43478..43849
dmecR1	99.80	987/975	NZ_CP080249.1	42695..41721
dmecR1	99.76	827/827	NZ_CP080249.1	41721..42547
dmecR1	99.80	987/975	NZ_CP080249.1	42695..41721
dmecR1	100.00	969/956	NZ_CP080249.1	42695..41740
mecA	99.90	2007/2007	NZ_CP080249.1	41621..39615
mecA	99.95	2007/2007	NZ_CP080249.1	41621..39615
mecA	99.95	2007/2007	NZ_CP080249.1	41621..39615
mecA	99.95	2007/2007	NZ_CP080249.1	39615..41621
mecA	100.00	2007/2007	NZ_CP080249.1	39615..41621
mecA	100.00	2007/2007	NZ_CP080249.1	41621..39615
mecA	99.90	2007/2007	NZ_CP080249.1	39615..41621
mecA	99.95	2007/2007	NZ_CP080249.1	41621..39615
mecA	100.00	2007/2007	NZ_CP080249.1	41621..39615
mecA	100.00	2007/2007	NZ_CP080249.1	39615..41621
mecA	99.95	2010/2010	NZ_CP080249.1	41624..39615
mecA	99.95	2010/2010	NZ_CP080249.1	39615..41624
mecA	99.90	2010/2010	NZ_CP080249.1	39615..41624
mecA	99.89	1910/1910	NZ_CP080249.1	39715..41624
mecA	99.90	2010/2010	NZ_CP080249.1	39615..41624
mecA	99.90	2010/2010	NZ_CP080249.1	39615..41624
mecA	99.90	2007/2007	NZ_CP080249.1	39615..41621
