subtype-IVa(2B)	100.00	1491/1491	NZ_CP099576.1	54010..52520
ccrB2	97.42	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	99.94	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	96.87	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	99.14	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	96.57	1629/1631	NZ_CP099576.1	45349..46977
ccrB2	97.24	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	100.00	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	100.00	1629/1629	NZ_CP099576.1	46977..45349
ccrB2	99.94	1650/1650	NZ_CP099576.1	46998..45349
ccrB2	99.02	1614/1629	NZ_CP099576.1	46977..45349
ccrB2	99.50	1596/1596	NZ_CP099576.1	46943..45349
ccrB2	99.94	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	99.82	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	99.94	1650/1650	NZ_CP099576.1	45349..46998
ccrB2	97.42	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.30	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.36	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.42	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.36	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.36	1629/1629	NZ_CP099576.1	45349..46977
ccrB2	97.42	1629/1629	NZ_CP099576.1	45349..46977
ccrA2	97.11	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	99.63	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	98.30	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	96.96	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	97.48	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	96.59	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	100.00	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	100.00	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	98.33	1314/1314	NZ_CP099576.1	48312..46999
ccrA2	99.63	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	98.00	1350/1350	NZ_CP099576.1	48348..46999
ccrA2	99.63	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.93	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	99.56	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	96.07	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
ccrA2	97.11	1350/1350	NZ_CP099576.1	46999..48348
dmecR1	100.00	987/987	NZ_CP099576.1	41676..40690
dmecR1	100.00	827/827	NZ_CP099576.1	40690..41516
dmecR1	100.00	987/987	NZ_CP099576.1	41676..40690
dmecR1	100.00	969/969	NZ_CP099576.1	41676..40708
IS1272	100.00	1524/1524	NZ_CP099576.1	41899..43422
IS1272	100.00	1585/1585	NZ_CP099576.1	43507..41923
IS1272	100.00	1843/1843	NZ_CP099576.1	41665..43507
IS1272	100.00	1659/1659	NZ_CP099576.1	43557..41899
IS1272	100.00	1608/1608	NZ_CP099576.1	43527..41920
mecA	99.95	2007/2007	NZ_CP099576.1	40590..38584
mecA	99.90	2007/2007	NZ_CP099576.1	40590..38584
mecA	100.00	2007/2007	NZ_CP099576.1	40590..38584
mecA	100.00	2007/2007	NZ_CP099576.1	38584..40590
mecA	99.95	2007/2007	NZ_CP099576.1	38584..40590
mecA	99.95	2007/2007	NZ_CP099576.1	40590..38584
mecA	99.95	2007/2007	NZ_CP099576.1	38584..40590
mecA	100.00	2007/2007	NZ_CP099576.1	40590..38584
mecA	99.95	2007/2007	NZ_CP099576.1	40590..38584
mecA	99.95	2007/2007	NZ_CP099576.1	38584..40590
mecA	99.90	2010/2010	NZ_CP099576.1	40593..38584
mecA	100.00	2010/2010	NZ_CP099576.1	38584..40593
mecA	99.95	2010/2010	NZ_CP099576.1	38584..40593
mecA	99.95	1910/1910	NZ_CP099576.1	38684..40593
mecA	99.95	2010/2010	NZ_CP099576.1	38584..40593
mecA	99.95	2010/2010	NZ_CP099576.1	38584..40593
mecA	99.95	2007/2007	NZ_CP099576.1	38584..40590
