#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2212168474.fna	NZ_CP092563.1	39209	41215	-	(Bla)mecA	1-2007/2007	===============	0/0	100.00	100.00	argannot	AB221124:91-2097	(Bla)mecA	
2212168474.fna	NZ_CP092563.1	124615	125967	+	(Tet)tet(38)	1-1353/1353	===============	0/0	100.00	100.00	argannot	AY825285:1-1353	(Tet)tet(38)	
2212168474.fna	NZ_CP092563.1	721438	722604	+	(Flq)norA	1-1167/1167	===============	0/0	100.00	100.00	argannot	D90119:478-1644	(Flq)norA	
2212168474.fna	NZ_CP092563.1	1781957	1782757	-	(AGly)apH-Stph	1-801/801	===============	0/0	100.00	100.00	argannot	HE579073:1778413-1779213	(AGly)apH-Stph	
2212168474.fna	NZ_CP092563.1	2365896	2366315	+	(Fcyn)FosB	1-420/420	===============	0/0	100.00	99.76	argannot	AHLO01000073:63139-63558	(Fcyn)FosB	
2212168474.fna	NZ_CP092563.1	2494632	2495819	-	(Phe)dha1	1-1188/1188	===============	0/0	100.00	100.00	argannot	BA000018:2517801-2518988	(Phe)dha1	
2212168474.fna	NZ_CP092563.1	2640276	2641070	-	(AGly)aph(3'')-III	1-795/795	===============	0/0	100.00	100.00	argannot	V01547:535-1329	(AGly)aph(3'')-III	
2212168474.fna	NZ_CP092563.1	2641163	2641693	-	(AGly)sat4A	1-543/543	========/======	1/12	97.79	97.79	argannot	X92945:38870-39412	(AGly)sat4A	
2212168474.fna	NZ_CP092563.1	2650029	2650928	-	(MLS)mph(C)	1-900/900	===============	0/0	100.00	99.89	argannot	AF167161:5665-6564	(MLS)mph(C)	
2212168474.fna	NZ_CP092563.1	2651027	2652493	-	(MLS)msr(A)	1-1467/1467	===============	0/0	100.00	99.18	argannot	AY591760:274-1740	(MLS)msr(A)	
2212168474.fna	NZ_CP092563.1	2663286	2663816	+	(AGly)sat4A	1-543/543	========/======	1/12	97.79	97.79	argannot	X92945:38870-39412	(AGly)sat4A	
2212168474.fna	NZ_CP092563.1	2663909	2664703	+	(AGly)aph(3'')-III	1-795/795	===============	0/0	100.00	100.00	argannot	V01547:535-1329	(AGly)aph(3'')-III	
