#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2999172154.fna	NZ_CP049976.1	427	1236	+	spw	1-810/810	===============	0/0	100.00	100.00	ncbi	NG_048075.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	AMINOGLYCOSIDE
2999172154.fna	NZ_CP049976.1	3303	4787	+	lsa(E)	1-1485/1485	===============	0/0	100.00	100.00	ncbi	NG_047935.1	ABC-F type ribosomal protection protein Lsa(E)	LINCOSAMIDE;STREPTOGRAMIN
2999172154.fna	NZ_CP049976.1	4841	5644	+	lnu(B)	1-804/804	===============	0/0	100.00	100.00	ncbi	NG_047923.1	lincosamide nucleotidyltransferase Lnu(B)	LINCOSAMIDE
2999172154.fna	NZ_CP049976.1	9030	9800	-	ant(4')-Ia	1-771/771	===============	0/0	100.00	99.87	ncbi	NG_056101.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	KANAMYCIN;TOBRAMYCIN
2999172154.fna	NZ_CP049976.1	33054	33434	-	blaI_of_Z	1-381/381	===============	0/0	100.00	100.00	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
2999172154.fna	NZ_CP049976.1	33424	35181	-	blaR1	1-1758/1758	===============	0/0	100.00	99.94	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
2999172154.fna	NZ_CP049976.1	35288	36133	+	blaPC1	1-846/846	===============	0/0	100.00	99.41	ncbi	NG_052065.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	BETA-LACTAM
2999172154.fna	NZ_CP049976.1	38875	39372	-	dfrG	1-498/498	===============	0/0	100.00	100.00	ncbi	NG_047756.1	trimethoprim-resistant dihydrofolate reductase DfrG	TRIMETHOPRIM
2999172154.fna	NZ_CP049976.1	643762	645681	-	tet(M)	1-1920/1920	===============	0/0	100.00	99.79	ncbi	NG_048213.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
2999172154.fna	NZ_CP049976.1	1451176	1452603	+	fexA	1-1428/1428	===============	0/0	100.00	99.93	ncbi	NG_047857.1	chloramphenicol/florfenicol efflux MFS transporter FexA	CHLORAMPHENICOL;FLORFENICOL
2999172154.fna	NZ_CP049976.1	2557504	2559510	-	mecA	1-2007/2007	===============	0/0	100.00	100.00	ncbi	NG_047939.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN
2999172154.fna	NZ_CP049976.1	2663750	2665102	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.56	ncbi	NG_055983.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
2999172154.fna	NZ_CP049976.1	2877733	2878529	-	aph(2'')-Ih	70-866/894	.==============	0/0	89.15	82.43	ncbi	NG_047408.1	aminoglycoside O-phosphotransferase APH(2'')-Ih	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN
2999172154.fna	NZ_CP049976.1	2885827	2887203	+	tet(L)	1-1377/1377	===============	0/0	100.00	99.86	ncbi	NG_048203.1	tetracycline efflux MFS transporter Tet(L)	TETRACYCLINE
2999172154.fna	NZ_CP049976.1	2887847	2888581	-	erm(T)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047841.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	MACROLIDE
2999172154.fna	NZ_CP049976.1	2894849	2895712	+	ant(6)-Ia	1-864/864	===============	0/0	100.00	100.00	ncbi	NG_050582.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	STREPTOMYCIN
