#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NZ_CP077757.1.fna	NZ_CP077757.1	143076	143876	+	(AGly)apH-Stph	1-801/801	===============	0/0	100.00	99.38	argannot	HE579073:1778413-1779213	(AGly)apH-Stph	
NZ_CP077757.1.fna	NZ_CP077757.1	258248	259675	-	(Phe)fexA	1-1428/1428	===============	0/0	100.00	99.86	argannot	JQ041372:14024-15451	(Phe)fexA	
NZ_CP077757.1.fna	NZ_CP077757.1	1211566	1212732	-	(Flq)norA	1-1167/1167	===============	0/0	100.00	99.91	argannot	D90119:478-1644	(Flq)norA	
NZ_CP077757.1.fna	NZ_CP077757.1	1831657	1833009	-	(Tet)tet(38)	1-1353/1353	===============	0/0	100.00	99.85	argannot	AY825285:1-1353	(Tet)tet(38)	
NZ_CP077757.1.fna	NZ_CP077757.1	1868275	1869045	-	(AGly)aadD	1-771/771	===============	0/0	100.00	99.74	argannot	AF181950:3176-3946	(AGly)aadD	
NZ_CP077757.1.fna	NZ_CP077757.1	1876309	1877112	-	(MLS)lnu((B)	1-804/804	===============	0/0	100.00	100.00	argannot	KC688833:1-804	(MLS)lnu((B)	
NZ_CP077757.1.fna	NZ_CP077757.1	1880717	1881526	-	(AGly)spw	1-810/810	===============	0/0	100.00	100.00	argannot	NG_048075:101-910	(AGly)spw	
NZ_CP077757.1.fna	NZ_CP077757.1	1882251	1883092	-	(AGly)ant6-Ia	1-842/909	==============.	0/0	92.63	89.31	argannot	AF330699:22-930	(AGly)ant6-Ia	
NZ_CP077757.1.fna	NZ_CP077757.1	1885665	1887041	+	(Tet)tetL	1-1377/1377	===============	0/0	100.00	100.00	argannot	FN435329:1-1377	(Tet)tetL	
NZ_CP077757.1.fna	NZ_CP077757.1	1889746	1890480	-	(MLS)erm(C)	1-735/735	===============	0/0	100.00	99.05	argannot	M19652:988-1722	(MLS)erm(C)	
NZ_CP077757.1.fna	NZ_CP077757.1	1893769	1895208	+	(AGly)aac6-Aph2	1-1440/1440	===============	0/0	100.00	100.00	argannot	M13771:304-1743	(AGly)aac6-Aph2	
NZ_CP077757.1.fna	NZ_CP077757.1	1897915	1898295	+	(Bla)blaI	1-381/381	===============	0/0	100.00	100.00	argannot	NG_047499:101-481	(Bla)blaI	
NZ_CP077757.1.fna	NZ_CP077757.1	2265540	2266727	+	(Phe)dha1	1-1188/1188	===============	0/0	100.00	99.58	argannot	BA000018:2517801-2518988	(Phe)dha1	
NZ_CP077757.1.fna	NZ_CP077757.1	2361145	2361642	-	(Tmt)dfrG	1-498/498	===============	0/0	100.00	100.00	argannot	AB205645:1013-1510	(Tmt)dfrG	
NZ_CP077757.1.fna	NZ_CP077757.1	2400511	2400930	-	(Fcyn)FosB	1-420/420	===============	0/0	100.00	99.29	argannot	AHLO01000073:63139-63558	(Fcyn)FosB	
NZ_CP077757.1.fna	NZ_CP077757.1	2735470	2736315	-	(Bla)blaZ	1-846/846	===============	0/0	100.00	95.15	argannot	AB245469:2235-3080	(Bla)blaZ	
NZ_CP077757.1.fna	NZ_CP077757.1	2736422	2738179	+	(Bla)blaR1_Bacilli	1-1758/1758	===============	0/0	100.00	92.83	argannot	NG_047539:1-1758	(Bla)blaR1_Bacilli	
NZ_CP077757.1.fna	NZ_CP077757.1	2738169	2738549	+	(Bla)blaI	1-381/381	===============	0/0	100.00	95.28	argannot	NG_047499:101-481	(Bla)blaI	
