file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
1376352309.fna	NZ_CP021105.1	31012	33330	+	adsA	1-2319/2319	===============	0/0	100.00	96.46	vfdb	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	132957	133473	+	cap8A	1-516/516	========/======	1/1	100.00	99.81	vfdb	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	133641	134327	+	cap8B	1-687/687	===============	0/0	100.00	98.98	vfdb	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	134330	135094	+	cap8C	1-765/765	===============	0/0	100.00	99.74	vfdb	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	135114	136937	+	cap8D	1-1824/1824	===============	0/0	100.00	99.73	vfdb	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	136927	137955	+	cap8E	1-1029/1029	===============	0/0	100.00	99.22	vfdb	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	137968	139077	+	cap8F	1-1110/1110	===============	0/0	100.00	99.46	vfdb	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	139081	140205	+	cap8G	1-1125/1125	===============	0/0	100.00	99.56	vfdb	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	144327	145532	+	cap8L	1-1206/1206	===============	0/0	100.00	99.50	vfdb	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	145543	146100	+	cap8M	1-558/558	===============	0/0	100.00	99.64	vfdb	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	146100	146987	+	cap8N	1-888/888	===============	0/0	100.00	99.44	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	147041	148303	+	cap8O	1-1263/1263	===============	0/0	100.00	99.05	vfdb	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	148380	149525	+	cap8P	1-1146/1146	===============	0/0	100.00	99.56	vfdb	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	292622	292915	+	esxA	1-294/294	===============	0/0	100.00	100.00	vfdb	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	292998	296027	+	esaA	1-3030/3030	===============	0/0	100.00	98.91	vfdb	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	296027	296485	+	essA	1-459/459	===============	0/0	100.00	98.26	vfdb	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	296457	296699	+	esaB	1-243/243	===============	0/0	100.00	99.59	vfdb	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	296712	298046	+	essB	1-1335/1335	===============	0/0	100.00	99.03	vfdb	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	298068	302507	+	essC	1-4440/4440	===============	0/0	100.00	98.51	vfdb	NP_645079	(essC) type VII secretion system protein EssC FtsK/SpoIIIE family ATPase [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	302537	302929	+	esaC	1-393/393	===============	0/0	100.00	97.71	vfdb	NP_645081	(esaC) type VII secretion system protein secreted protein EsxC [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	302945	303259	+	esxB	1-315/315	===============	0/0	100.00	97.46	vfdb	NP_645082	(esxB) type VII secretion system protein secreted protein EsxB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	331007	333082	+	geh	1-2073/2073	========/======	1/3	100.00	99.13	vfdb	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	570769	573636	+	sdrC	1-2868/2868	========/======	6/28	99.51	93.51	vfdb	NP_645333	(sdrC) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
1376352309.fna	NZ_CP021105.1	574003	577887	+	sdrD	1-3855/4044	========/======	6/38	95.23	92.80	vfdb	NP_645334	(sdrD) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]		1376352309
