#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NZ_CP077755.1.fna	NZ_CP077755.1	426060	427520	+	ebp	1-1461/1461	===============	0/0	100.00	99.80	vfdb	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]	
NZ_CP077755.1.fna	NZ_CP077755.1	815968	816927	+	hly/hla	1-960/960	===============	0/0	100.00	99.69	vfdb	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]	
NZ_CP077755.1.fna	NZ_CP077755.1	844271	844594	-	isdG	1-324/324	===============	0/0	100.00	99.38	vfdb	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
NZ_CP077755.1.fna	NZ_CP077755.1	844613	845347	-	srtB	1-735/735	===============	0/0	100.00	99.73	vfdb	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
NZ_CP077755.1.fna	NZ_CP077755.1	845409	846374	-	isdF	1-966/966	===============	0/0	100.00	99.90	vfdb	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
NZ_CP077755.1.fna	NZ_CP077755.1	846387	847265	-	isdE	1-879/879	===============	0/0	100.00	99.43	vfdb	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
NZ_CP077755.1.fna	NZ_CP077755.1	847262	848338	-	isdD	1-1077/1077	===============	0/0	100.00	99.81	vfdb	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
NZ_CP077755.1.fna	NZ_CP077755.1	848338	849021	-	isdC	1-684/684	===============	0/0	100.00	99.56	vfdb	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
NZ_CP077755.1.fna	NZ_CP077755.1	849230	850282	+	isdA	1-1053/1053	===============	0/0	100.00	99.72	vfdb	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
NZ_CP077755.1.fna	NZ_CP077755.1	850485	852410	+	isdB	1-1938/1938	========/======	2/12	99.38	98.14	vfdb	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
