Sample	ST	Allele_Profile	arcC	aroE	glpF	gmk	pta	tpi	yqiL	
1376352309.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
1575502651.fna	22	arcC(7)-aroE(6)-glpF(1)-gmk(5)-pta(8)-tpi(8)-yqiL(6)	7	6	1	5	8	8	6	
2064726533.fna	9	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(1)-tpi(1)-yqiL(10)	3	3	1	1	1	1	10	
2064751942.fna	9	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(1)-tpi(1)-yqiL(10)	3	3	1	1	1	1	10	
2194665735.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2212168325.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2212168474.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2212168481.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2212172067.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2236627887.fna	22	arcC(7)-aroE(6)-glpF(1)-gmk(5)-pta(8)-tpi(8)-yqiL(6)	7	6	1	5	8	8	6	
2267348900.fna	8	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(4)-tpi(4)-yqiL(3)	3	3	1	1	4	4	3	
2772899465.fna	8	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(4)-tpi(4)-yqiL(3)	3	3	1	1	4	4	3	
2780070556.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
2999172154.fna	398	arcC(3)-aroE(35)-glpF(19)-gmk(2)-pta(20)-tpi(26)-yqiL(39)	3	35	19	2	20	26	39	
3004670934.fna	5	arcC(1)-aroE(4)-glpF(1)-gmk(4)-pta(12)-tpi(1)-yqiL(10)	1	4	1	4	12	1	10	
NZ_CP077755.1.fna	9	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(1)-tpi(1)-yqiL(10)	3	3	1	1	1	1	10	
NZ_CP077757.1.fna	9	arcC(3)-aroE(3)-glpF(1)-gmk(1)-pta(1)-tpi(1)-yqiL(10)	3	3	1	1	1	1	10	
