#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2194665735.fna	NZ_CP080249.1	33542	34021	+	RLMH	1-480/480	===============	0/0	100.00	98.75	megares	MEG_6058	Drugs:MLS:23S_rRNA_methyltransferases:RLMH	
2194665735.fna	NZ_CP080249.1	39615	41624	-	MECA	1-2010/2010	===============	0/0	100.00	99.95	megares	MEG_3784	Drugs:betalactams:Penicillin_binding_protein:MECA	
2194665735.fna	NZ_CP080249.1	41721	43478	+	MECA	1-1758/1758	===============	0/0	100.00	99.89	megares	MEG_3786	Drugs:betalactams:Penicillin_binding_protein:MECA	
2194665735.fna	NZ_CP080249.1	43478	43849	+	MECI	1-372/372	===============	0/0	100.00	100.00	megares	MEG_3804	Drugs:betalactams:Penicillin_binding_protein_regulator:MECI	
2194665735.fna	NZ_CP080249.1	49988	51428	+	FEXA	1-1441/1441	===============	0/0	100.00	98.75	megares	MEG_2905	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:FEXA	
2194665735.fna	NZ_CP080249.1	146538	147890	+	TET38	1-1353/1353	===============	0/0	100.00	100.00	megares	MEG_6984	Drugs:Tetracyclines:Tetracycline_resistance_MFS_efflux_pumps:TET38	
2194665735.fna	NZ_CP080249.1	374804	375223	+	MEPR	1-420/420	===============	0/0	100.00	100.00	megares	MEG_3836	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_regulator:MEPR	
2194665735.fna	NZ_CP080249.1	375315	376685	+	MEPA	1-1371/1371	===============	0/0	100.00	99.49	megares	MEG_3834	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MEPA	
2194665735.fna	NZ_CP080249.1	376789	377229	+	MEPB	1-441/441	===============	0/0	100.00	89.34	megares	MEG_3835	Drugs:Multi-drug_resistance:Multi-drug_MATE_efflux_pump:MEPB	
2194665735.fna	NZ_CP080249.1	723617	724060	+	AAC3	1-444/444	===============	0/0	100.00	99.10	megares	MEG_47	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC3	
2194665735.fna	NZ_CP080249.1	732083	732526	-	MGRA	1-444/444	===============	0/0	100.00	100.00	megares	MEG_3943	Drugs:Multi-drug_resistance:MDR_regulator:MGRA	
2194665735.fna	NZ_CP080249.1	740177	741343	+	NORA	1-1167/1167	===============	0/0	100.00	100.00	megares	MEG_4207	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:NORA	
2194665735.fna	NZ_CP080249.1	1478851	1480326	+	AAC6-PRIME	1-1476/1476	===============	0/0	100.00	100.00	megares	MEG_352	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME	
2194665735.fna	NZ_CP080249.1	1480882	1481644	+	ERMB	1-762/762	========/======	1/1	100.00	99.21	megares	MEG_2801	Drugs:MLS:23S_rRNA_methyltransferases:ERMB	
2194665735.fna	NZ_CP080249.1	1481949	1482857	+	ANT6	1-909/909	===============	0/0	100.00	100.00	megares	MEG_994	Drugs:Aminoglycosides:Aminoglycoside_O-nucleotidyltransferases:ANT6	
2194665735.fna	NZ_CP080249.1	1486285	1487047	+	ERMB	1-762/762	========/======	1/1	100.00	99.61	megares	MEG_2801	Drugs:MLS:23S_rRNA_methyltransferases:ERMB	
2194665735.fna	NZ_CP080249.1	1534585	1535940	-	ARLS	1-1356/1356	===============	0/0	100.00	99.93	megares	MEG_1119	Drugs:Multi-drug_resistance:MDR_regulator:ARLS	
2194665735.fna	NZ_CP080249.1	1535937	1536596	-	ARLR	1-660/660	===============	0/0	100.00	100.00	megares	MEG_1117	Drugs:Multi-drug_resistance:MDR_regulator:ARLR	
2194665735.fna	NZ_CP080249.1	1582489	1583880	-	NORB	1-1392/1392	===============	0/0	100.00	98.85	megares	MEG_4210	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:NORB	
2194665735.fna	NZ_CP080249.1	1797541	1798981	+	FEXA	1-1441/1441	===============	0/0	100.00	98.75	megares	MEG_2905	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:FEXA	
2194665735.fna	NZ_CP080249.1	1913951	1914751	-	APH3-PRIME	1-801/801	===============	0/0	100.00	100.00	megares	MEG_1060	Drugs:Aminoglycosides:Aminoglycoside_O-phosphotransferases:APH3-PRIME	
2194665735.fna	NZ_CP080249.1	2118811	2119191	-	BLAI	1-381/381	===============	0/0	100.00	95.54	megares	MEG_1287	Drugs:betalactams:Penicillin_binding_protein_regulator:BLAI	
2194665735.fna	NZ_CP080249.1	2119181	2120938	-	BLAR	1-1758/1758	===============	0/0	100.00	92.61	megares	MEG_1302	Drugs:betalactams:Penicillin_binding_protein_regulator:BLAR	
2194665735.fna	NZ_CP080249.1	2121003	2121890	+	BLAZ	1-888/888	===============	0/0	100.00	99.89	megares	MEG_1411	Drugs:betalactams:Class_A_betalactamases:BLAZ	
2194665735.fna	NZ_CP080249.1	2353412	2354854	-	LMRS	1-1443/1443	===============	0/0	100.00	99.03	megares	MEG_3599	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:LMRS	
2194665735.fna	NZ_CP080249.1	2522532	2522951	+	FOSB	1-420/420	===============	0/0	100.00	99.76	megares	MEG_3009	Drugs:Fosfomycin:Fosfomycin_thiol_transferases:FOSB	
2194665735.fna	NZ_CP080249.1	2651206	2652393	-	DHAP	1-1188/1188	===============	0/0	100.00	100.00	megares	MEG_2614	Drugs:Phenicol:Phenicol_resistance_MFS_efflux_pumps:DHAP	
