Genome	Total_AMR_Genes	MRSA_Status	Resistance_Classes	Gene_List
2212168474	31	Positive	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,CADMIUM/LEAD/ZINC,MACROLIDE,NA,STREPTOTHRICIN,MACROLIDE/PHENICOL	splB,mecA,ant(6)-Ia,cadC,sen,lmrS,fosB,lukD,msr(A),mph(C),mecR1,selX,sei,aur,hlgC,icaC,aph(3')-IIIa,tet(38),splA,lukE,hlgB,hld,mepA,seu,seo,sem,sat4,hlgA
2212168481	31	Positive	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,MACROLIDE,CADMIUM/LEAD/ZINC,NA,STREPTOTHRICIN,MACROLIDE/PHENICOL	splB,mecA,ant(6)-Ia,cadC,sen,lmrS,fosB,lukD,msr(A),mph(C),mecR1,selX,sei,aur,hlgC,icaC,aph(3')-IIIa,tet(38),splA,lukE,hlgB,hld,mepA,seu,seo,sem,sat4,hlgA
2780070556	26	Positive	BETA-LACTAM,TETRACYCLINE,FOSFOMYCIN,NA,PHENICOL,MACROLIDE/PHENICOL	splB,mecA,sak,sen,lmrS,fosB,lukD,mecR1,tet(M),selX,sei,aur,hlgC,icaC,tet(38),splA,lukE,hlgB,scn,hld,mepA,seu,seo,sem,hlgA,fexA
2999172154	26	Positive	LINCOSAMIDE/STREPTOGRAMIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,NA,TRIMETHOPRIM,PHENICOL,COPPER,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE/PHENICOL	erm(T),blaI,mecA,ant(6)-Ia,lmrS,lnu(B),tet(M),dfrG,aadD1,aur,hlgC,icaC,tet(38),aac(6')-Ie/aph(2'')-Ia,tet(L),mco,hlgB,spw,hld,mepA,lsa(E),sel26,blaPC1,blaR1,hlgA,fexA
1376352309	28	Positive	BETA-LACTAM,TETRACYCLINE,FOSFOMYCIN,NA,MACROLIDE/PHENICOL	splB,mecA,sak,sen,sec3,lmrS,fosB,lukD,mecR1,selX,sei,aur,hlgC,icaC,tet(38),splA,lukE,hlgB,scn,hld,mepA,sep,seu,seo,sem,sel,tst,hlgA
2064726533	38	Positive	LINCOSAMIDE/STREPTOGRAMIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/PHENICOL,FOSFOMYCIN,NA,TRIMETHOPRIM,PHENICOL,COPPER,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC	blaI,mecA,ant(6)-Ia,fosB,lmrS,arsC,erm(C),lnu(B),sel28,dfrG,selX,aadD1,sei,arsB,aur,icaC,hlgC,tet(38),tet(L),sel27,aac(6')-Ie/aph(2'')-Ia,mco,hlgB,spw,hld,arsR,mepA,seu,seo,lsa(E),blaZ,blaPC1,sem,blaR1,sey,hlgA,fexA
2212168325	31	Positive	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,MACROLIDE,CADMIUM/LEAD/ZINC,NA,STREPTOTHRICIN,MACROLIDE/PHENICOL	splB,mecA,ant(6)-Ia,cadC,sen,lmrS,fosB,lukD,msr(A),mph(C),mecR1,selX,sei,aur,hlgC,icaC,aph(3')-IIIa,tet(38),splA,lukE,hlgB,hld,mepA,seu,seo,sem,sat4,hlgA
NZ_CP077755.1	38	Positive	LINCOSAMIDE/STREPTOGRAMIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/PHENICOL,FOSFOMYCIN,NA,TRIMETHOPRIM,PHENICOL,COPPER,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC	blaI,mecA,ant(6)-Ia,fosB,lmrS,arsC,erm(C),lnu(B),sel28,dfrG,selX,aadD1,sei,arsB,aur,icaC,hlgC,tet(38),tet(L),sel27,aac(6')-Ie/aph(2'')-Ia,mco,hlgB,spw,hld,arsR,mepA,seu,seo,lsa(E),blaZ,blaPC1,sem,blaR1,sey,hlgA,fexA
2267348900	25	Positive	BETA-LACTAM,TETRACYCLINE,FOSFOMYCIN,NA,MACROLIDE/PHENICOL	splB,mecA,lukF-PV,sak,lmrS,fosB,sek,lukD,mecR1,selX,aur,hlgC,icaC,tet(38),splA,lukE,hlgB,scn,lukS-PV,hld,mepA,sel26,seq,splE,hlgA
2236627887	23	Positive	NA,BETA-LACTAM,MACROLIDE/PHENICOL,TETRACYCLINE	sec1,blaI,mecA,sak,lmrS,sen,mecR1,aur,sei,hlgC,icaC,tet(38),hlgB,scn,hld,mepA,seu,seo,blaZ,sel26,sem,sel,hlgA
2194665735	33	Positive	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,FOSFOMYCIN,NA,TRIMETHOPRIM,PHENICOL,STREPTOTHRICIN,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE/PHENICOL	splB,mecA,blaI,ant(6)-Ia,sen,lmrS,fosB,lukD,dfrE,mecR1,selX,sei,aur,hlgC,icaC,tet(38),aac(6')-Ie/aph(2'')-Ia,splA,lukE,hlgB,hld,mepA,seu,seo,blaZ,mecI,sem,sat4,erm(B),hlgA,fexA
2064751942	33	Negative	LINCOSAMIDE/STREPTOGRAMIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,MACROLIDE/PHENICOL,FOSFOMYCIN,NA,TRIMETHOPRIM,PHENICOL,COPPER,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC	blaI,ant(6)-Ia,fosB,lmrS,arsC,erm(C),lnu(B),sel28,dfrG,selX,aadD1,aur,arsB,icaC,hlgC,tet(38),tet(L),sel27,aac(6')-Ie/aph(2'')-Ia,mco,hlgB,spw,hld,arsR,mepA,seo,lsa(E),blaZ,blaR1,sey,hlgA,fexA
