#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_XII(9C2)|gb|KR187111	   87162	   23300	  467.00	3.7e-25	    1.55	   99.79	    1.11	   87344	
SCCmec_type_II(2A)|gb|CP000736	   33024	   31340	   10.80	3.7e-25	    0.59	   28.11	    0.41	  117483	
SCCmec_type_II(2A)|gb|D86934.2	   31138	   30530	    4.00	3.7e-03	    0.55	   27.21	    0.40	  114446	
SCCmec_type_I(1B)|gb|AB033763.2	   23880	   19774	   33.50	3.7e-25	    0.42	   32.22	    0.49	   74126	
SCCmec_type_XIII(9A)|gb|MG674089	   22905	   16871	   53.40	3.7e-25	    0.41	   36.22	    0.99	   63244	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   19919	   17672	   19.40	3.7e-25	    0.35	   30.07	    0.88	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   19383	   15865	   32.10	3.7e-25	    0.34	   32.59	    0.98	   59474	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   18873	   15474	   31.50	3.7e-25	    0.34	   32.54	    0.53	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   18592	   12788	   59.20	3.7e-25	    0.33	   38.78	    0.66	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   17516	   11510	   64.60	3.7e-25	    0.31	   40.60	    0.70	   43148	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   16972	   13947	   29.50	3.7e-25	    0.30	   32.46	    1.11	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   15246	   12334	   30.30	3.7e-25	    0.27	   32.98	    0.59	   46234	
SCCmec_type_I(1B)|gb|CP000046.1	   14857	   13771	   10.70	3.7e-24	    0.26	   28.78	    0.51	   51622	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   14799	   13606	   11.80	3.7e-25	    0.26	   29.02	    0.53	   51003	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   14199	   12207	   20.80	3.7e-25	    0.25	   31.03	    0.58	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   14126	   12256	   19.50	3.7e-25	    0.25	   30.75	    0.58	   45942	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   14079	   12700	   14.10	3.7e-25	    0.25	   29.57	    0.55	   47607	
SCCmec_type_VI(4B)|gb|AF411935.3	   13819	   12320	   15.60	3.7e-25	    0.25	   29.92	    0.57	   46183	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   13526	   11789	   18.50	3.7e-25	    0.24	   30.61	    0.59	   44194	
