sample	mlst_scheme	mlst_ST
BU_W12_t13.fna	saureus	508
GHA_LAMRSA_2016_25.fna	saureus	6
GCA_002905535.1_ASM290553v1_genomic.fna	saureus	1
14_S13.fna	saureus	4552
GHA_LAMRSA_2016_4.fna	saureus	133
GHA_LAMRSA_2016_6.fna	saureus	133
MRSA252.fna	saureus	36
N315.fna	saureus	5
SA12C_S67_L001.fna	saureus	2077
USA300_FPR3757.fna	saureus	8
