file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
2064726533.fna	NZ_CP077755.1	1857785	1858789	-	rep22_1b_repB(pAMalpha1)	1-1005/1005	===============	0/0	100.00	100.00	plasmidfinder	AF503772	rep22_1b_repB(pAMalpha1)_AF503772		2064726533
2772899465.fna	NZ_CP160409.1	168475	169295	+	rep7c_1_rep(MSSA476)	1-821/821	===============	0/0	100.00	99.76	plasmidfinder	BX571857	rep7c_1_rep(MSSA476)_BX571857		2772899465
2064751942.fna	NZ_CP077757.1	1869205	1870209	-	rep22_1b_repB(pAMalpha1)	1-1005/1005	===============	0/0	100.00	100.00	plasmidfinder	AF503772	rep22_1b_repB(pAMalpha1)_AF503772		2064751942
NZ_CP077755.1.fna	NZ_CP077755.1	1857785	1858789	-	rep22_1b_repB(pAMalpha1)	1-1005/1005	===============	0/0	100.00	100.00	plasmidfinder	AF503772	rep22_1b_repB(pAMalpha1)_AF503772		NZ_CP077755.1
2780070556.fna	NZ_CP160634.1	1512992	1514197	+	repUS43_1_CDS12738(DOp1)	1-1206/1206	===============	0/0	100.00	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584		2780070556
2267348900.fna	NZ_CP099576.1	168960	169780	+	rep7c_1_rep(MSSA476)	1-821/821	===============	0/0	100.00	99.76	plasmidfinder	BX571857	rep7c_1_rep(MSSA476)_BX571857		2267348900
NZ_CP077757.1.fna	NZ_CP077757.1	1869205	1870209	-	rep22_1b_repB(pAMalpha1)	1-1005/1005	===============	0/0	100.00	100.00	plasmidfinder	AF503772	rep22_1b_repB(pAMalpha1)_AF503772		NZ_CP077757.1
3004670934.fna	NZ_CP040665.2	37180	38184	-	rep22_1b_repB(pAMalpha1)	1-1005/1005	===============	0/0	100.00	99.90	plasmidfinder	AF503772	rep22_1b_repB(pAMalpha1)_AF503772		3004670934
2999172154.fna	NZ_CP049976.1	22408	23173	+	rep7a_22_rep(pSBK203)	153-918/945	..======/======	4/4	80.85	83.07	plasmidfinder	U35036	rep7a_22_rep(pSBK203)_U35036		2999172154
2999172154.fna	NZ_CP049976.1	653955	655160	-	repUS43_1_CDS12738(DOp1)	1-1206/1206	===============	0/0	100.00	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584		2999172154
