subtype-IVg(2B)	99.87	1515/1515	NZ_CP160634.1	54669..53155
ccrB2	98.28	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	98.47	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	96.38	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	98.16	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	97.42	1629/1631	NZ_CP160634.1	46391..48019
ccrB2	96.75	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	98.53	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	98.53	1629/1629	NZ_CP160634.1	48019..46391
ccrB2	98.42	1650/1648	NZ_CP160634.1	48038..46391
ccrB2	97.55	1614/1629	NZ_CP160634.1	48019..46391
ccrB2	98.00	1596/1596	NZ_CP160634.1	47985..46391
ccrB2	98.47	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.34	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.42	1650/1648	NZ_CP160634.1	46391..48038
ccrB2	98.28	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.16	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.22	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.28	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.22	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.22	1629/1629	NZ_CP160634.1	46391..48019
ccrB2	98.28	1629/1629	NZ_CP160634.1	46391..48019
ccrA2	97.56	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	96.96	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	98.00	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	96.00	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	95.26	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	95.63	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	97.19	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	97.19	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	98.02	1314/1314	NZ_CP160634.1	49354..48041
ccrA2	96.96	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	98.00	1350/1350	NZ_CP160634.1	49390..48041
ccrA2	96.96	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	98.37	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.04	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	96.37	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
ccrA2	97.56	1350/1350	NZ_CP160634.1	48041..49390
dmecR1	100.00	987/987	NZ_CP160634.1	42718..41732
dmecR1	100.00	827/827	NZ_CP160634.1	41732..42558
dmecR1	100.00	987/987	NZ_CP160634.1	42718..41732
dmecR1	100.00	969/969	NZ_CP160634.1	42718..41750
IS1272	100.00	1524/1524	NZ_CP160634.1	42941..44464
IS1272	100.00	1585/1585	NZ_CP160634.1	44549..42965
IS1272	100.00	1843/1843	NZ_CP160634.1	42707..44549
IS1272	100.00	1659/1659	NZ_CP160634.1	44599..42941
IS1272	100.00	1608/1608	NZ_CP160634.1	44569..42962
mecA	99.95	2007/2007	NZ_CP160634.1	41632..39626
mecA	99.90	2007/2007	NZ_CP160634.1	41632..39626
mecA	100.00	2007/2007	NZ_CP160634.1	41632..39626
mecA	100.00	2007/2007	NZ_CP160634.1	39626..41632
mecA	99.95	2007/2007	NZ_CP160634.1	39626..41632
mecA	99.95	2007/2007	NZ_CP160634.1	41632..39626
mecA	99.95	2007/2007	NZ_CP160634.1	39626..41632
mecA	100.00	2007/2007	NZ_CP160634.1	41632..39626
mecA	99.95	2007/2007	NZ_CP160634.1	41632..39626
mecA	99.95	2007/2007	NZ_CP160634.1	39626..41632
mecA	99.90	2010/2010	NZ_CP160634.1	41635..39626
mecA	100.00	2010/2010	NZ_CP160634.1	39626..41635
mecA	99.95	2010/2010	NZ_CP160634.1	39626..41635
mecA	99.95	1910/1910	NZ_CP160634.1	39726..41635
mecA	99.95	2010/2010	NZ_CP160634.1	39626..41635
mecA	99.95	2010/2010	NZ_CP160634.1	39626..41635
mecA	99.95	2007/2007	NZ_CP160634.1	39626..41632
