subtype-IVh(2B)	100.00	498/498	NZ_CP092475.1	2783177..2782680
subtype-IVj(2B)	100.00	378/378	NZ_CP092475.1	2784023..2783646
ccrB2	97.36	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	100.00	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	96.81	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	99.08	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	96.50	1629/1631	NZ_CP092475.1	2792530..2790902
ccrB2	97.18	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	99.94	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	99.94	1629/1629	NZ_CP092475.1	2790902..2792530
ccrB2	100.00	1650/1650	NZ_CP092475.1	2790881..2792530
ccrB2	98.96	1614/1629	NZ_CP092475.1	2790902..2792530
ccrB2	99.44	1596/1596	NZ_CP092475.1	2790936..2792530
ccrB2	100.00	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	99.75	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	100.00	1650/1650	NZ_CP092475.1	2792530..2790881
ccrB2	97.36	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.24	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.30	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.36	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.30	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.30	1629/1629	NZ_CP092475.1	2792530..2790902
ccrB2	97.36	1629/1629	NZ_CP092475.1	2792530..2790902
ccrA2	97.04	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	100.00	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	98.22	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	97.19	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	97.11	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	96.59	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	99.63	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	99.63	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	98.25	1314/1314	NZ_CP092475.1	2789567..2790880
ccrA2	100.00	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	97.93	1350/1350	NZ_CP092475.1	2789531..2790880
ccrA2	100.00	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.56	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	99.93	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	95.70	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
ccrA2	97.04	1350/1350	NZ_CP092475.1	2790880..2789531
dmecR1	100.00	987/987	NZ_CP092475.1	2796203..2797189
dmecR1	100.00	827/827	NZ_CP092475.1	2797189..2796363
dmecR1	100.00	987/987	NZ_CP092475.1	2796203..2797189
dmecR1	100.00	969/969	NZ_CP092475.1	2796203..2797171
IS1272	100.00	1524/1524	NZ_CP092475.1	2795980..2794457
IS1272	100.00	1585/1585	NZ_CP092475.1	2794372..2795956
IS1272	100.00	1843/1843	NZ_CP092475.1	2796214..2794372
IS1272	100.00	1659/1659	NZ_CP092475.1	2794322..2795980
IS1272	100.00	1608/1608	NZ_CP092475.1	2794352..2795959
mecA	99.85	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.90	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.90	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.90	2007/2007	NZ_CP092475.1	2799295..2797289
mecA	99.95	2007/2007	NZ_CP092475.1	2799295..2797289
mecA	99.95	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.85	2007/2007	NZ_CP092475.1	2799295..2797289
mecA	99.90	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.95	2007/2007	NZ_CP092475.1	2797289..2799295
mecA	99.95	2007/2007	NZ_CP092475.1	2799295..2797289
mecA	99.90	2010/2010	NZ_CP092475.1	2797286..2799295
mecA	99.90	2010/2010	NZ_CP092475.1	2799295..2797286
mecA	99.85	2010/2010	NZ_CP092475.1	2799295..2797286
mecA	99.84	1910/1910	NZ_CP092475.1	2799195..2797286
mecA	99.85	2010/2010	NZ_CP092475.1	2799295..2797286
mecA	99.85	2010/2010	NZ_CP092475.1	2799295..2797286
mecA	99.85	2007/2007	NZ_CP092475.1	2799295..2797289
