#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NZ_CP077757.1.fna	NZ_CP077757.1	258248	259675	-	fexA	1-1428/1428	===============	0/0	100.00	99.79	card	AJ549214:176-1604	fexA is a plasmid-encoded chloramphenicol exporter that is found in Staphylococcus lentus	phenicol
NZ_CP077757.1.fna	NZ_CP077757.1	522545	523204	+	arlR	1-660/660	===============	0/0	100.00	100.00	card	CP023390.1:1462248-1461588	ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.	acridine_dye;fluoroquinolone
NZ_CP077757.1.fna	NZ_CP077757.1	523201	524556	+	arlS	1-1356/1356	===============	0/0	100.00	99.78	card	CP000253.1:1361636-1360280	ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.	acridine_dye;fluoroquinolone
NZ_CP077757.1.fna	NZ_CP077757.1	1211566	1212732	-	Staphylococcus_aureus_norA	1-1167/1167	===============	0/0	100.00	99.91	card	D90119.1:477-1644	NorA gene cloned from Staphylococcus aureus conferred relatively high resistance to hydrophilic quinolones such as norfloxacin enoxacin ofloxacin and ciprofloxacin in S. aureus and Escherichia coli. Had low or no resistance at all to hydrophobic ones such as nalidixic acid oxolinic acid and sparfloxacin in S. aureus and Escherichia coli.	fluoroquinolone
NZ_CP077757.1.fna	NZ_CP077757.1	1220383	1220826	+	mgrA	1-444/444	===============	0/0	100.00	100.00	card	BA000018.3:735860-735416	MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.	acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1598338	1599693	-	mepA	1-1356/1356	===============	0/0	100.00	99.41	card	AY661734.1:839-2195	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.	glycylcycline;tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1599800	1600219	-	mepR	1-420/420	===============	0/0	100.00	99.29	card	BA000017.4:379931-380351	MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.	glycylcycline;tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1831657	1833009	-	tet(38)	1-1353/1353	===============	0/0	100.00	99.85	card	AY825285:0-1353	Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.	tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1868275	1869036	-	ANT(4')-Ib	1-762/762	===============	0/0	100.00	100.00	card	GQ900432.1:27499-26737	Kanamycin nucleotidyltransferase sequence from Staphylococcus aureus plasmid. Confers resistance to kanamycin neomycin and other aminoglycosides	aminoglycoside
NZ_CP077757.1.fna	NZ_CP077757.1	1876309	1877112	-	lsaE	1-804/804	===============	0/0	100.00	100.00	card	AF408195.1:9446-10250	lsaE is an ABC-F subfamily protein found in porcine MRSA isolates. It confers resistance to pleuromutilin lincosamide and streptogramin A	lincosamide;macrolide;oxazolidinone;phenicol;pleuromutilin;streptogramin;tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1882229	1883092	-	ANT(6)-Ia	1-864/864	===============	0/0	100.00	100.00	card	KF648874.1:61860-60996	ANT(6)-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and chromosomes in Staphylococcus epidermidis E. faecium Streptococcus suis S. aureus E. faecalis and Streptococcus mitis	aminoglycoside
NZ_CP077757.1.fna	NZ_CP077757.1	1885665	1887041	+	tet(L)	1-1377/1377	===============	0/0	100.00	99.78	card	M11036:0-1377	TetL is a tetracycline efflux protein found in many species of Gram-negative and Gram-positive bacteria.	tetracycline
NZ_CP077757.1.fna	NZ_CP077757.1	1889746	1890480	-	ErmC	1-735/735	===============	0/0	100.00	98.78	card	M12730:779-1514	ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.	lincosamide;macrolide;streptogramin
NZ_CP077757.1.fna	NZ_CP077757.1	1893769	1895208	+	AAC(6')-Ie-APH(2'')-Ia	1-1440/1440	===============	0/0	100.00	100.00	card	GU565967.1:26419-24979	AAC(6')-Ie-APH(2'')-Ia is an aminoglycoside acetyltransferase encoded by plasmids and transposons in S. aureus E. faecalis E. faecium and Staphylococcus warneri	aminoglycoside
NZ_CP077757.1.fna	NZ_CP077757.1	2361145	2361642	-	dfrG	1-498/498	===============	0/0	100.00	100.00	card	AB205645:1012-1510	dfrG is a plasmid-encoded dihydrofolate reductase found in Staphylococcus aureus	diaminopyrimidine
NZ_CP077757.1.fna	NZ_CP077757.1	2400511	2400930	-	Staphylococcus_aureus_FosB	1-420/420	===============	0/0	100.00	99.29	card	AHLO01000073.1:63138-63558	The Bacillus subtilis fosB gene encodes a fosfomycin resistance protein	fosfomycin
