file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
1575502651.fna	NZ_CP035671.1	175662	176147	+	dfrC	1-486/486	===============	0/0	100.00	98.97	card	AE015929.1:1129419-1128933	dfrC is a chromosome-encoded dihydrofolate reductase found in Staphylococcus aureus	diaminopyrimidine	1575502651
1575502651.fna	NZ_CP035671.1	180439	181878	+	AAC(6')-Ie-APH(2'')-Ia	1-1440/1440	===============	0/0	100.00	100.00	card	GU565967.1:26419-24979	AAC(6')-Ie-APH(2'')-Ia is an aminoglycoside acetyltransferase encoded by plasmids and transposons in S. aureus E. faecalis E. faecium and Staphylococcus warneri	aminoglycoside	1575502651
1575502651.fna	NZ_CP035671.1	197676	198335	+	arlR	1-660/660	===============	0/0	100.00	98.79	card	CP023390.1:1462248-1461588	ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.	acridine_dye;fluoroquinolone	1575502651
1575502651.fna	NZ_CP035671.1	198332	199687	+	arlS	1-1356/1356	===============	0/0	100.00	98.82	card	CP000253.1:1361636-1360280	ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.	acridine_dye;fluoroquinolone	1575502651
1575502651.fna	NZ_CP035671.1	882002	883167	-	Staphylococcus_aureus_norA	1-1166/1167	===============	0/0	99.91	92.02	card	D90119.1:477-1644	NorA gene cloned from Staphylococcus aureus conferred relatively high resistance to hydrophilic quinolones such as norfloxacin enoxacin ofloxacin and ciprofloxacin in S. aureus and Escherichia coli. Had low or no resistance at all to hydrophobic ones such as nalidixic acid oxolinic acid and sparfloxacin in S. aureus and Escherichia coli.	fluoroquinolone	1575502651
1575502651.fna	NZ_CP035671.1	890818	891261	+	mgrA	1-444/444	===============	0/0	100.00	100.00	card	BA000018.3:735860-735416	MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.	acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline	1575502651
1575502651.fna	NZ_CP035671.1	1243907	1245262	-	mepA	1-1356/1356	===============	0/0	100.00	98.97	card	AY661734.1:839-2195	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.	glycylcycline;tetracycline	1575502651
1575502651.fna	NZ_CP035671.1	1245369	1245788	-	mepR	1-420/420	===============	0/0	100.00	100.00	card	BA000017.4:379931-380351	MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.	glycylcycline;tetracycline	1575502651
1575502651.fna	NZ_CP035671.1	1471177	1472529	-	tet(38)	1-1353/1353	===============	0/0	100.00	98.74	card	AY825285:0-1353	Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.	tetracycline	1575502651
1575502651.fna	NZ_CP035671.1	1556763	1558769	+	mecA	1-2007/2007	===============	0/0	100.00	99.90	card	KC243783:0-2007	A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.	penam	1575502651
1575502651.fna	NZ_CP035671.1	2175649	2177090	+	Staphylococcys_aureus_LmrS	2-1443/1443	===============	0/0	99.93	93.76	card	CP000046.1:2236817-2235374	MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid	aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol	1575502651
1575502651.fna	NZ_CP035671.1	2408929	2409774	-	PC1_beta-lactamase_(blaZ)	1-846/846	===============	0/0	100.00	96.69	card	CP000732.1:10528-9682	The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.	penam	1575502651
1575502651.fna	NZ_CP035671.1	2420677	2421520	-	PC1_beta-lactamase_(blaZ)	1-846/846	========/======	2/2	99.76	96.34	card	CP000732.1:10528-9682	The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.	penam	1575502651
2236627887.fna	NZ_CP092475.1	572426	573867	+	Staphylococcys_aureus_LmrS	2-1443/1443	===============	0/0	99.93	93.83	card	CP000046.1:2236817-2235374	MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid	aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol	2236627887
