#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   25144	   12763	  110.80	3.7e-25	    0.45	   21.40	    0.32	  117483	
SCCmec_type_II(2A)|gb|D86934.2	   21584	   12433	   83.40	3.7e-25	    0.39	   18.86	    0.29	  114446	
SCCmec_type_XII(9C2)|gb|KR187111	   15234	    9489	   60.60	3.7e-25	    0.27	   17.44	    0.25	   87344	
SCCmec_type_I(1B)|gb|AB033763.2	   13850	    8053	   66.60	3.7e-25	    0.25	   18.68	    0.32	   74126	
SCCmec_type_II(2A)|gb|BX571856	   13542	   12662	    8.00	3.7e-14	    0.24	   11.62	    0.20	  116558	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   13305	    6301	   91.20	3.7e-25	    0.24	   22.94	    0.39	   58005	
SCCmec_type_II(2A)|gb|AP009324	   13271	   11399	   18.10	3.7e-25	    0.24	   12.65	    0.21	  104932	
SCCmec_type_II(2A)|gb|BA000017	   13271	   11396	   18.10	3.7e-25	    0.24	   12.65	    0.21	  104900	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   10181	    7197	   36.50	3.7e-25	    0.18	   15.37	    0.77	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	    9635	    6461	   41.00	3.7e-25	    0.17	   16.20	    0.85	   59474	
SCCmec_type_XIII(9A)|gb|MG674089	    9399	    6871	   31.70	3.7e-25	    0.17	   14.86	    0.81	   63244	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	    9251	    5208	   58.30	3.7e-25	    0.17	   19.30	    0.39	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	    7224	    5680	   21.40	3.7e-25	    0.13	   13.82	    0.96	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	    5542	    5023	    7.70	3.7e-12	    0.10	   11.99	    0.31	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	    5212	    4687	    8.00	3.7e-13	    0.09	   12.08	    0.34	   43148	
