file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
1575502651.fna	NZ_CP035671.1	180439	181878	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100.00	100.00	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	1575502651
1575502651.fna	NZ_CP035671.1	1556763	1558769	+	mecA_6	1-2007/2007	===============	0/0	100.00	100.00	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	1575502651
1575502651.fna	NZ_CP035671.1	2408929	2409816	-	blaZ_138	1-888/888	===============	0/0	100.00	99.89	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	1575502651
1575502651.fna	NZ_CP035671.1	2420677	2421562	-	blaZ_138	1-888/888	========/======	2/2	99.77	99.55	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	1575502651
2236627887.fna	NZ_CP092475.1	806578	807465	-	blaZ_138	1-888/888	===============	0/0	100.00	100.00	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	2236627887
2236627887.fna	NZ_CP092475.1	2797289	2799295	+	mecA_2	1-2007/2007	===============	0/0	100.00	99.95	resfinder	NC_002951	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	2236627887
2212168474.fna	NZ_CP092563.1	39209	41215	-	mecA_6	1-2007/2007	===============	0/0	100.00	100.00	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	2212168474
2212168474.fna	NZ_CP092563.1	2640276	2641070	-	aph(3')-III_1	1-795/795	===============	0/0	100.00	100.00	resfinder	M26832	aph(3')-III	Amikacin	2212168474
2212168474.fna	NZ_CP092563.1	2650029	2650928	-	mph(C)_2	1-900/900	===============	0/0	100.00	99.89	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin	2212168474
2212168474.fna	NZ_CP092563.1	2651027	2652493	-	msr(A)_1	1-1467/1467	===============	0/0	100.00	98.91	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	2212168474
2212168474.fna	NZ_CP092563.1	2663909	2664703	+	aph(3')-III_1	1-795/795	===============	0/0	100.00	100.00	resfinder	M26832	aph(3')-III	Amikacin	2212168474
2064726533.fna	NZ_CP077755.1	260809	262236	-	fexA_1	1-1428/1428	===============	0/0	100.00	99.79	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol	2064726533
2064726533.fna	NZ_CP077755.1	1856855	1857625	-	aadD_1	1-771/771	===============	0/0	100.00	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin	2064726533
2064726533.fna	NZ_CP077755.1	1864888	1865691	-	lnu(B)_2	1-804/804	===============	0/0	100.00	100.00	resfinder	JQ861959	lnu(B)	Lincomycin;Clindamycin	2064726533
2064726533.fna	NZ_CP077755.1	1865745	1867229	-	lsa(E)_1	1-1485/1485	===============	0/0	100.00	100.00	resfinder	JX560992	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin	2064726533
2064726533.fna	NZ_CP077755.1	1870808	1871671	-	ant(6)-Ia_2	1-864/864	===============	0/0	100.00	100.00	resfinder	KF421157	ant(6)-Ia	Streptomycin	2064726533
2064726533.fna	NZ_CP077755.1	1874244	1875620	+	tet(L)_2	1-1377/1377	===============	0/0	100.00	100.00	resfinder	M29725	tet(L)	Doxycycline;Tetracycline	2064726533
2064726533.fna	NZ_CP077755.1	1878325	1879059	-	erm(C)_2	1-735/735	===============	0/0	100.00	99.05	resfinder	M19652	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	2064726533
2064726533.fna	NZ_CP077755.1	1882350	1883789	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100.00	100.00	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	2064726533
2064726533.fna	NZ_CP077755.1	1886670	1887557	-	blaZ_78	1-888/888	===============	0/0	100.00	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	2064726533
2064726533.fna	NZ_CP077755.1	1944106	1946112	-	mecA_2	1-2007/2007	===============	0/0	100.00	99.95	resfinder	NC_002951	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	2064726533
2064726533.fna	NZ_CP077755.1	2398301	2398798	-	dfrG_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB205645	dfrG	Trimethoprim	2064726533
2064726533.fna	NZ_CP077755.1	2773002	2773889	-	blaZ_138	1-888/888	===============	0/0	100.00	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	2064726533
2772899465.fna	NZ_CP160409.1	39080	41086	-	mecA_6	1-2007/2007	===============	0/0	100.00	100.00	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	2772899465
2064751942.fna	NZ_CP077757.1	258248	259675	-	fexA_1	1-1428/1428	===============	0/0	100.00	99.79	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol	2064751942
2064751942.fna	NZ_CP077757.1	1868275	1869045	-	aadD_1	1-771/771	===============	0/0	100.00	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin	2064751942
2064751942.fna	NZ_CP077757.1	1876309	1877112	-	lnu(B)_2	1-804/804	===============	0/0	100.00	100.00	resfinder	JQ861959	lnu(B)	Lincomycin;Clindamycin	2064751942
2064751942.fna	NZ_CP077757.1	1877166	1878650	-	lsa(E)_1	1-1485/1485	===============	0/0	100.00	100.00	resfinder	JX560992	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin	2064751942
2064751942.fna	NZ_CP077757.1	1882229	1883092	-	ant(6)-Ia_2	1-864/864	===============	0/0	100.00	100.00	resfinder	KF421157	ant(6)-Ia	Streptomycin	2064751942
2064751942.fna	NZ_CP077757.1	1885665	1887041	+	tet(L)_2	1-1377/1377	===============	0/0	100.00	100.00	resfinder	M29725	tet(L)	Doxycycline;Tetracycline	2064751942
2064751942.fna	NZ_CP077757.1	1889746	1890480	-	erm(C)_2	1-735/735	===============	0/0	100.00	99.05	resfinder	M19652	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	2064751942
2064751942.fna	NZ_CP077757.1	1893769	1895208	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100.00	100.00	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	2064751942
2064751942.fna	NZ_CP077757.1	2361145	2361642	-	dfrG_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB205645	dfrG	Trimethoprim	2064751942
2064751942.fna	NZ_CP077757.1	2735470	2736357	-	blaZ_138	1-888/888	===============	0/0	100.00	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	2064751942
NZ_CP077755.1.fna	NZ_CP077755.1	260809	262236	-	fexA_1	1-1428/1428	===============	0/0	100.00	99.79	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1856855	1857625	-	aadD_1	1-771/771	===============	0/0	100.00	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1864888	1865691	-	lnu(B)_2	1-804/804	===============	0/0	100.00	100.00	resfinder	JQ861959	lnu(B)	Lincomycin;Clindamycin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1865745	1867229	-	lsa(E)_1	1-1485/1485	===============	0/0	100.00	100.00	resfinder	JX560992	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1870808	1871671	-	ant(6)-Ia_2	1-864/864	===============	0/0	100.00	100.00	resfinder	KF421157	ant(6)-Ia	Streptomycin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1874244	1875620	+	tet(L)_2	1-1377/1377	===============	0/0	100.00	100.00	resfinder	M29725	tet(L)	Doxycycline;Tetracycline	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1878325	1879059	-	erm(C)_2	1-735/735	===============	0/0	100.00	99.05	resfinder	M19652	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1882350	1883789	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100.00	100.00	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1886670	1887557	-	blaZ_78	1-888/888	===============	0/0	100.00	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	1944106	1946112	-	mecA_2	1-2007/2007	===============	0/0	100.00	99.95	resfinder	NC_002951	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	2398301	2398798	-	dfrG_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB205645	dfrG	Trimethoprim	NZ_CP077755.1
NZ_CP077755.1.fna	NZ_CP077755.1	2773002	2773889	-	blaZ_138	1-888/888	===============	0/0	100.00	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin	NZ_CP077755.1
2780070556.fna	NZ_CP160634.1	39626	41632	-	mecA_6	1-2007/2007	===============	0/0	100.00	100.00	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	2780070556
2780070556.fna	NZ_CP160634.1	1522473	1524392	+	tet(M)_1	1-1920/1920	===============	0/0	100.00	99.53	resfinder	X92947	tet(M)	Doxycycline;Tetracycline;Minocycline	2780070556
2780070556.fna	NZ_CP160634.1	1750549	1751976	+	fexA_1	1-1428/1428	===============	0/0	100.00	99.72	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol	2780070556
