ccrC2-allele-1	100.00	1686/1686	NZ_CP077755.1	1951513..1949828
mecA	99.85	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.90	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.90	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.90	2007/2007	NZ_CP077755.1	1944106..1946112
mecA	99.95	2007/2007	NZ_CP077755.1	1944106..1946112
mecA	99.95	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.95	2007/2007	NZ_CP077755.1	1944106..1946112
mecA	99.90	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.95	2007/2007	NZ_CP077755.1	1946112..1944106
mecA	99.95	2007/2007	NZ_CP077755.1	1944106..1946112
mecA	99.90	2010/2010	NZ_CP077755.1	1946115..1944106
mecA	99.90	2010/2010	NZ_CP077755.1	1944106..1946115
mecA	99.95	2010/2010	NZ_CP077755.1	1944106..1946115
mecA	99.95	1910/1910	NZ_CP077755.1	1944206..1946115
mecA	99.95	2010/2010	NZ_CP077755.1	1944106..1946115
mecA	99.95	2010/2010	NZ_CP077755.1	1944106..1946115
mecA	99.95	2007/2007	NZ_CP077755.1	1944106..1946112
