#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2064751942.fna	NZ_CP077757.1	258248	259675	-	fexA_1	1-1428/1428	===============	0/0	100.00	99.79	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol
2064751942.fna	NZ_CP077757.1	1868275	1869045	-	aadD_1	1-771/771	===============	0/0	100.00	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
2064751942.fna	NZ_CP077757.1	1876309	1877112	-	lnu(B)_2	1-804/804	===============	0/0	100.00	100.00	resfinder	JQ861959	lnu(B)	Lincomycin;Clindamycin
2064751942.fna	NZ_CP077757.1	1877166	1878650	-	lsa(E)_1	1-1485/1485	===============	0/0	100.00	100.00	resfinder	JX560992	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin
2064751942.fna	NZ_CP077757.1	1882229	1883092	-	ant(6)-Ia_2	1-864/864	===============	0/0	100.00	100.00	resfinder	KF421157	ant(6)-Ia	Streptomycin
2064751942.fna	NZ_CP077757.1	1885665	1887041	+	tet(L)_2	1-1377/1377	===============	0/0	100.00	100.00	resfinder	M29725	tet(L)	Doxycycline;Tetracycline
2064751942.fna	NZ_CP077757.1	1889746	1890480	-	erm(C)_2	1-735/735	===============	0/0	100.00	99.05	resfinder	M19652	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
2064751942.fna	NZ_CP077757.1	1893769	1895208	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100.00	100.00	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
2064751942.fna	NZ_CP077757.1	2361145	2361642	-	dfrG_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB205645	dfrG	Trimethoprim
2064751942.fna	NZ_CP077757.1	2735470	2736357	-	blaZ_138	1-888/888	===============	0/0	100.00	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
