Sample_Name	SCCmec_Type	MRSA_Status
1376352309	Not Detected	MRSA
1575502651	SCCmec_type_IV(2B)	MRSA
2064726533	Not Detected	MRSA
2064751942	Not Detected	MSSA
2194665735	Not Detected	MRSA
2212168325	SCCmec_type_IV(2B)	MRSA
2212168474	SCCmec_type_IV(2B)	MRSA
2212168481	SCCmec_type_IV(2B)	MRSA
2212172067	SCCmec_type_IV(2B)	MRSA
2236627887	SCCmec_type_IV(2B)	MRSA
2267348900	SCCmec_type_IV(2B)	MRSA
2772899465	SCCmec_type_IV(2B)	MRSA
2780070556	SCCmec_type_IV(2B)	MRSA
2999172154	Not Detected	MRSA
3004670934	SCCmec_type_II(2A)	MRSA
NZ_CP077755.1	Not Detected	MRSA
NZ_CP077757.1	Not Detected	MSSA
