Genome	Total_AMR_Genes	MRSA_Status	Resistance_Classes	Gene_List
2212168481	31	Positive	MACROLIDE,BETA-LACTAM,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,STREPTOTHRICIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA,CADMIUM/LEAD/ZINC,AMINOGLYCOSIDE	lukE,hld,hlgA,aur,seu,selX,seo,hlgB,mph(C),sat4,mepA,tet(38),msr(A),icaC,sei,mecA,splB,splA,aph(3')-IIIa,cadC,ant(6)-Ia,lmrS,fosB,sen,mecR1,hlgC,lukD,sem
3004670934	30	Positive	BETA-LACTAM,BLEOMYCIN,LINCOSAMIDE/MACROLIDE,FOSFOMYCIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA,AMINOGLYCOSIDE	lukE,hld,hlgA,aur,seu,aadD1,selX,seo,bleO,hlgB,mepA,tet(38),icaC,ant(9)-Ia,sei,sak,scn,erm(A),mecA,splB,splA,mecI,lmrS,fosB,sen,mecR1,hlgC,sem
2064726533	38	Positive	LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE,BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC,FOSFOMYCIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,COPPER,AMINOGLYCOSIDE	spw,hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,seu,aadD1,seo,selX,hlgB,mepA,sel27,tet(L),mco,blaR1,tet(38),icaC,sel28,sei,sey,erm(C),lnu(B),blaPC1,mecA,dfrG,ant(6)-Ia,arsC,lmrS,fosB,blaI,arsR,hlgC,arsB,blaZ,lsa(E),sem,fexA
2999172154	26	Positive	LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE,BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,COPPER,AMINOGLYCOSIDE	spw,tet(M),hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,aadD1,hlgB,mepA,tet(L),mco,tet(38),icaC,lnu(B),blaPC1,mecA,dfrG,ant(6)-Ia,sel26,lmrS,blaI,erm(T),hlgC,lsa(E),blaR1,fexA
2772899465	25	Positive	BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA	lukE,hld,hlgA,aur,selX,hlgB,seq,mepA,lukF-PV,tet(38),icaC,sak,scn,mecA,splB,splA,sek,sel26,lmrS,fosB,mecR1,hlgC,lukS-PV,lukD,splE
2064751942	33	Negative	LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE,BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC,FOSFOMYCIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,COPPER,AMINOGLYCOSIDE	spw,hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,aadD1,seo,selX,hlgB,mepA,sel27,tet(L),mco,tet(38),icaC,sel28,sey,erm(C),lnu(B),dfrG,ant(6)-Ia,arsC,lmrS,fosB,blaI,arsR,hlgC,arsB,blaZ,lsa(E),blaR1,fexA
2236627887	23	Positive	TETRACYCLINE,MACROLIDE/PHENICOL,NA,BETA-LACTAM	hld,hlgA,aur,seu,seo,sec1,hlgB,mepA,tet(38),icaC,sei,sak,scn,mecA,sel26,lmrS,blaI,sen,mecR1,hlgC,sel,blaZ,sem
2212168325	31	Positive	MACROLIDE,BETA-LACTAM,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,STREPTOTHRICIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA,CADMIUM/LEAD/ZINC,AMINOGLYCOSIDE	lukE,hld,hlgA,aur,seu,selX,seo,hlgB,mph(C),sat4,mepA,tet(38),msr(A),icaC,sei,mecA,splB,splA,aph(3')-IIIa,cadC,ant(6)-Ia,lmrS,fosB,sen,mecR1,hlgC,lukD,sem
NZ_CP077755.1	38	Positive	LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE,BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC,FOSFOMYCIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,COPPER,AMINOGLYCOSIDE	spw,hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,seu,aadD1,seo,selX,hlgB,mepA,sel27,tet(L),mco,blaR1,tet(38),icaC,sel28,sei,sey,erm(C),lnu(B),blaPC1,mecA,dfrG,ant(6)-Ia,arsC,lmrS,fosB,blaI,arsR,hlgC,arsB,blaZ,lsa(E),sem,fexA
NZ_CP077757.1	33	Negative	LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE,BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,ARSENIC,FOSFOMYCIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,COPPER,AMINOGLYCOSIDE	spw,hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,aadD1,seo,selX,hlgB,mepA,sel27,tet(L),mco,tet(38),icaC,sel28,sey,erm(C),lnu(B),dfrG,ant(6)-Ia,arsC,lmrS,fosB,blaI,arsR,hlgC,arsB,blaZ,lsa(E),blaR1,fexA
2267348900	25	Positive	BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA	lukE,hld,hlgA,aur,selX,hlgB,seq,mepA,lukF-PV,tet(38),icaC,sak,scn,mecA,splB,splA,sek,sel26,lmrS,fosB,mecR1,hlgC,lukS-PV,lukD,splE
2212172067	28	Positive	MACROLIDE,BETA-LACTAM,MACROLIDE/STREPTOGRAMIN,FOSFOMYCIN,STREPTOTHRICIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA,CADMIUM/LEAD/ZINC,AMINOGLYCOSIDE	lukE,hld,hlgA,aur,selX,seo,hlgB,mph(C),sat4,mepA,tet(38),msr(A),icaC,mecA,splB,splA,aph(3')-IIIa,cadC,ant(6)-Ia,lmrS,fosB,sen,mecR1,hlgC,lukD,sem
2194665735	33	Positive	BETA-LACTAM,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,STREPTOTHRICIN,FOSFOMYCIN,TETRACYCLINE,TRIMETHOPRIM,MACROLIDE/PHENICOL,NA,AMINOGLYCOSIDE	lukE,hld,hlgA,aac(6')-Ie/aph(2'')-Ia,aur,seu,selX,seo,hlgB,sat4,mepA,tet(38),icaC,sei,mecA,splB,splA,ant(6)-Ia,mecI,dfrE,lmrS,fosB,blaI,sen,mecR1,erm(B),hlgC,blaZ,lukD,sem,fexA
2780070556	26	Positive	BETA-LACTAM,PHENICOL,FOSFOMYCIN,TETRACYCLINE,MACROLIDE/PHENICOL,NA	tet(M),lukE,hld,hlgA,aur,seu,selX,seo,hlgB,mepA,tet(38),icaC,sei,sak,scn,mecA,splB,splA,lmrS,fosB,sen,mecR1,hlgC,lukD,sem,fexA
