Sample	spa_Type	Repeat_Pattern	Repeat_Count	Status
2064726533.fna	t899	07-16-23-02-34	5	success
1575502651.fna	t1317	07-23-05-17-25-17-25-16-28	9	success
2064751942.fna	t899	07-16-23-02-34	5	success
1376352309.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
2194665735.fna	t5117	26-23-17-34-17-02-17-12-17-16-16	11	success
2212168325.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
2212168474.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
2212168481.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
2236627887.fna	t032	26-23-23-13-23-31-29-17-31-29-17-25-17-25-16-28	16	success
2212172067.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
2267348900.fna	t008	11-19-12-21-17-34-24-34-22-25	10	success
2780070556.fna	t5923	26-17-34-17-16	5	success
2772899465.fna	t622	11-19-12-21-17-34-22-25	8	success
NZ_CP077757.1.fna	t899	07-16-23-02-34	5	success
NZ_CP077755.1.fna	t899	07-16-23-02-34	5	success
2999172154.fna	t18103	08-16-02-25-02-25-34-25-16	9	success
3004670934.fna	t002	26-23-17-34-17-20-17-12-17-16	10	success
