#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2999172154.fna	NZ_CP049976.1	427	1236	+	(AGly)spw	1-810/810	===============	0/0	100.00	100.00	argannot	NG_048075:101-910	(AGly)spw	
2999172154.fna	NZ_CP049976.1	4841	5644	+	(MLS)lnu((B)	1-804/804	===============	0/0	100.00	100.00	argannot	KC688833:1-804	(MLS)lnu((B)	
2999172154.fna	NZ_CP049976.1	9030	9800	-	(AGly)aadD	1-771/771	===============	0/0	100.00	99.74	argannot	AF181950:3176-3946	(AGly)aadD	
2999172154.fna	NZ_CP049976.1	33054	33434	-	(Bla)blaI	1-381/381	===============	0/0	100.00	100.00	argannot	NG_047499:101-481	(Bla)blaI	
2999172154.fna	NZ_CP049976.1	33424	35181	-	(Bla)blaR1_Bacilli	1-1758/1758	===============	0/0	100.00	99.94	argannot	NG_047539:1-1758	(Bla)blaR1_Bacilli	
2999172154.fna	NZ_CP049976.1	35288	36133	+	(Bla)blaZ	1-846/846	===============	0/0	100.00	100.00	argannot	AB245469:2235-3080	(Bla)blaZ	
2999172154.fna	NZ_CP049976.1	38875	39372	-	(Tmt)dfrG	1-498/498	===============	0/0	100.00	100.00	argannot	AB205645:1013-1510	(Tmt)dfrG	
2999172154.fna	NZ_CP049976.1	432461	433626	+	(Flq)norA	1-1166/1167	===============	0/0	99.91	91.34	argannot	D90119:478-1644	(Flq)norA	
2999172154.fna	NZ_CP049976.1	643762	645681	-	(Tet)tetM	1-1920/1920	===============	0/0	100.00	99.22	argannot	DQ534550:1451-3370	(Tet)tetM	
2999172154.fna	NZ_CP049976.1	1451176	1452603	+	(Phe)fexA	1-1428/1428	===============	0/0	100.00	100.00	argannot	JQ041372:14024-15451	(Phe)fexA	
2999172154.fna	NZ_CP049976.1	1564805	1565605	-	(AGly)apH-Stph	1-801/801	===============	0/0	100.00	99.25	argannot	HE579073:1778413-1779213	(AGly)apH-Stph	
2999172154.fna	NZ_CP049976.1	2232273	2233460	-	(Phe)dha1	1-1188/1188	===============	0/0	100.00	99.16	argannot	BA000018:2517801-2518988	(Phe)dha1	
2999172154.fna	NZ_CP049976.1	2557504	2559510	-	(Bla)mecA	1-2007/2007	===============	0/0	100.00	99.95	argannot	AB221124:91-2097	(Bla)mecA	
2999172154.fna	NZ_CP049976.1	2663750	2665102	+	(Tet)tet(38)	1-1353/1353	===============	0/0	100.00	98.67	argannot	AY825285:1-1353	(Tet)tet(38)	
2999172154.fna	NZ_CP049976.1	2877720	2879159	-	(AGly)aac6-Aph2	1-1440/1440	===============	0/0	100.00	100.00	argannot	M13771:304-1743	(AGly)aac6-Aph2	
2999172154.fna	NZ_CP049976.1	2885827	2887203	+	(Tet)tetL	1-1377/1377	===============	0/0	100.00	99.86	argannot	FN435329:1-1377	(Tet)tetL	
2999172154.fna	NZ_CP049976.1	2887847	2888581	-	(MLS)erm(T)	1-735/735	===============	0/0	100.00	99.73	argannot	M64090:168-902	(MLS)erm(T)	
2999172154.fna	NZ_CP049976.1	2894849	2895690	+	(AGly)ant6-Ia	1-842/909	==============.	0/0	92.63	89.31	argannot	AF330699:22-930	(AGly)ant6-Ia	
