file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
1376352309.fna	NZ_CP021105.1	40953	42959	-	mecA	1-2007/2007	===============	0/0	100.00	99.95	ncbi	NG_047940.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN	1376352309
1376352309.fna	NZ_CP021105.1	117186	118538	+	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048133.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE	1376352309
1376352309.fna	NZ_CP021105.1	2326801	2327220	+	fosB-Saur	1-420/420	===============	0/0	100.00	99.76	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN	1376352309
2267348900.fna	NZ_CP099576.1	38584	40590	-	mecA	1-2007/2007	===============	0/0	100.00	99.95	ncbi	NG_047940.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN	2267348900
2267348900.fna	NZ_CP099576.1	158012	159364	+	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE	2267348900
2267348900.fna	NZ_CP099576.1	2457648	2458067	+	fosB-Saur	1-420/420	===============	0/0	100.00	100.00	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN	2267348900
2064726533.fna	NZ_CP077755.1	260809	262236	-	fexA	1-1428/1428	===============	0/0	100.00	99.79	ncbi	NG_047857.1	chloramphenicol/florfenicol efflux MFS transporter FexA	CHLORAMPHENICOL;FLORFENICOL	2064726533
2064726533.fna	NZ_CP077755.1	1820237	1821589	-	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE	2064726533
2064726533.fna	NZ_CP077755.1	1856855	1857625	-	ant(4')-Ia	1-771/771	===============	0/0	100.00	99.87	ncbi	NG_056101.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	KANAMYCIN;TOBRAMYCIN	2064726533
2064726533.fna	NZ_CP077755.1	1864888	1865691	-	lnu(B)	1-804/804	===============	0/0	100.00	100.00	ncbi	NG_047923.1	lincosamide nucleotidyltransferase Lnu(B)	LINCOSAMIDE	2064726533
2064726533.fna	NZ_CP077755.1	1865745	1867229	-	lsa(E)	1-1485/1485	===============	0/0	100.00	100.00	ncbi	NG_047935.1	ABC-F type ribosomal protection protein Lsa(E)	LINCOSAMIDE;STREPTOGRAMIN	2064726533
2064726533.fna	NZ_CP077755.1	1869296	1870105	-	spw	1-810/810	===============	0/0	100.00	100.00	ncbi	NG_048075.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	AMINOGLYCOSIDE	2064726533
2064726533.fna	NZ_CP077755.1	1870808	1871671	-	ant(6)-Ia	1-864/864	===============	0/0	100.00	100.00	ncbi	NG_050582.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	STREPTOMYCIN	2064726533
2064726533.fna	NZ_CP077755.1	1874244	1875620	+	tet(L)	1-1377/1377	===============	0/0	100.00	100.00	ncbi	NG_048203.1	tetracycline efflux MFS transporter Tet(L)	TETRACYCLINE	2064726533
2064726533.fna	NZ_CP077755.1	1878325	1879059	-	erm(C)	1-735/735	===============	0/0	100.00	99.05	ncbi	NG_047809.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE	2064726533
2064726533.fna	NZ_CP077755.1	1882980	1883776	+	aph(2'')-Ih	70-866/894	.==============	0/0	89.15	82.43	ncbi	NG_047408.1	aminoglycoside O-phosphotransferase APH(2'')-Ih	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN	2064726533
2064726533.fna	NZ_CP077755.1	1886670	1887515	-	blaPC1	1-846/846	===============	0/0	100.00	99.41	ncbi	NG_052065.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	BETA-LACTAM	2064726533
2064726533.fna	NZ_CP077755.1	1887622	1889379	+	blaR1	1-1758/1758	===============	0/0	100.00	99.94	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM	2064726533
2064726533.fna	NZ_CP077755.1	1889369	1889749	+	blaI_of_Z	1-381/381	===============	0/0	100.00	100.00	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM	2064726533
2064726533.fna	NZ_CP077755.1	1944106	1946112	-	mecA	1-2007/2007	===============	0/0	100.00	99.95	ncbi	NG_047939.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN	2064726533
2064726533.fna	NZ_CP077755.1	2398301	2398798	-	dfrG	1-498/498	===============	0/0	100.00	100.00	ncbi	NG_047756.1	trimethoprim-resistant dihydrofolate reductase DfrG	TRIMETHOPRIM	2064726533
2064726533.fna	NZ_CP077755.1	2437667	2438086	-	fosB-Saur	1-420/420	===============	0/0	100.00	99.29	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN	2064726533
2064726533.fna	NZ_CP077755.1	2773002	2773847	-	blaZ	1-846/846	===============	0/0	100.00	96.81	ncbi	NG_055999.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM	2064726533
2064726533.fna	NZ_CP077755.1	2773954	2775711	+	blaR1	1-1758/1758	===============	0/0	100.00	92.83	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM	2064726533
2064726533.fna	NZ_CP077755.1	2775701	2776081	+	blaI_of_Z	1-381/381	===============	0/0	100.00	95.28	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM	2064726533
2236627887.fna	NZ_CP092475.1	806578	807423	-	blaZ	1-846/846	===============	0/0	100.00	96.57	ncbi	NG_055999.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM	2236627887
