subtype-IVc(2B)	100.00	1155/1155	NZ_CP035671.1	1543836..1544990
ccrB2	97.42	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	99.94	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	96.87	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	99.14	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	96.57	1629/1631	NZ_CP035671.1	1552006..1550378
ccrB2	97.24	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	100.00	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	100.00	1629/1629	NZ_CP035671.1	1550378..1552006
ccrB2	99.94	1650/1650	NZ_CP035671.1	1550357..1552006
ccrB2	99.02	1614/1629	NZ_CP035671.1	1550378..1552006
ccrB2	99.50	1596/1596	NZ_CP035671.1	1550412..1552006
ccrB2	99.94	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	99.82	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	99.94	1650/1650	NZ_CP035671.1	1552006..1550357
ccrB2	97.42	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.30	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.36	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.42	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.36	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.36	1629/1629	NZ_CP035671.1	1552006..1550378
ccrB2	97.42	1629/1629	NZ_CP035671.1	1552006..1550378
ccrA2	97.11	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	99.63	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	98.30	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	96.96	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	97.48	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	96.59	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	100.00	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	100.00	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	98.33	1314/1314	NZ_CP035671.1	1549043..1550356
ccrA2	99.63	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	98.00	1350/1350	NZ_CP035671.1	1549007..1550356
ccrA2	99.63	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.93	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	99.56	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	96.07	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
ccrA2	97.11	1350/1350	NZ_CP035671.1	1550356..1549007
dmecR1	100.00	987/987	NZ_CP035671.1	1555677..1556663
dmecR1	100.00	827/827	NZ_CP035671.1	1556663..1555837
dmecR1	100.00	987/987	NZ_CP035671.1	1555677..1556663
dmecR1	100.00	969/969	NZ_CP035671.1	1555677..1556645
IS1272	99.87	1524/1524	NZ_CP035671.1	1555454..1553933
IS1272	99.27	1524/1499	NZ_CP035671.1	2408865..2407369
IS1272	99.27	1524/1499	NZ_CP035671.1	2420613..2419117
IS1272	99.87	1585/1585	NZ_CP035671.1	1553848..1555430
IS1272	99.31	1585/1582	NZ_CP035671.1	2407286..2408865
IS1272	99.31	1585/1582	NZ_CP035671.1	2419034..2420613
IS1272	99.89	1843/1843	NZ_CP035671.1	1555688..1553848
IS1272	99.31	1843/1582	NZ_CP035671.1	2408865..2407286
IS1272	99.31	1843/1582	NZ_CP035671.1	2420613..2419034
IS1272	99.88	1659/1659	NZ_CP035671.1	1553798..1555454
IS1272	99.31	1659/1582	NZ_CP035671.1	2407286..2408865
IS1272	99.31	1659/1582	NZ_CP035671.1	2419034..2420613
IS1272	99.88	1608/1608	NZ_CP035671.1	1553828..1555433
IS1272	99.31	1608/1582	NZ_CP035671.1	2407286..2408865
IS1272	99.31	1608/1582	NZ_CP035671.1	2419034..2420613
mecA	99.95	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	99.90	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	100.00	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	100.00	2007/2007	NZ_CP035671.1	1558769..1556763
mecA	99.95	2007/2007	NZ_CP035671.1	1558769..1556763
mecA	99.95	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	99.95	2007/2007	NZ_CP035671.1	1558769..1556763
mecA	100.00	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	99.95	2007/2007	NZ_CP035671.1	1556763..1558769
mecA	99.95	2007/2007	NZ_CP035671.1	1558769..1556763
mecA	99.90	2010/2010	NZ_CP035671.1	1556760..1558769
mecA	100.00	2010/2010	NZ_CP035671.1	1558769..1556760
mecA	99.95	2010/2010	NZ_CP035671.1	1558769..1556760
mecA	99.95	1910/1910	NZ_CP035671.1	1558669..1556760
mecA	99.95	2010/2010	NZ_CP035671.1	1558769..1556760
mecA	99.95	2010/2010	NZ_CP035671.1	1558769..1556760
mecA	99.95	2007/2007	NZ_CP035671.1	1558769..1556763
